"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Rab37" 3.52478468513181e-09 4.02404773311098 0.041 0.003 7.82889926414626e-05
"Trim30b" 3.66546008919994e-09 3.15330926973424 0.062 0.007 8.141353404122e-05
"Coro1a" 3.76786543726658e-09 1.19458419672748 0.402 0.166 8.36880592271281e-05
"Olfr558" 4.22572912071455e-09 2.80245640691012 0.072 0.009 9.38576695001909e-05
"Camk1d" 4.53811250445039e-09 1.84371890174515 0.175 0.045 0.000100796016836348
"Pltp" 4.63371639399382e-09 1.24303386643807 0.505 0.254 0.000102919474826997
"Nr1h3" 4.69288140567762e-09 1.45023430291761 0.278 0.095 0.000104233588901506
"H2-Oa" 4.72333886160718e-09 2.50252017041816 0.072 0.009 0.000104910079455157
"Adamts17" 4.79892642318352e-09 2.62135051711395 0.072 0.009 0.000106588954785329
"Cntln" 5.46483316392577e-09 1.18361330003581 0.351 0.134 0.000121379409403955
"Csf2rb" 5.49298884450121e-09 1.26788243628542 0.278 0.095 0.000122004775225216
"Alkal2" 5.59200069389866e-09 1.74092584076515 0.093 0.014 0.000124203927412183
"Ntrk1" 6.28553199045988e-09 1.40998005346758 0.258 0.084 0.000139607951040104
"Cd2" 6.34751128320312e-09 1.85206663003059 0.113 0.021 0.000140984573111225
"Abcd1" 6.40197339552768e-09 1.54700533502912 0.237 0.075 0.000142194231088065
"Cpxm1" 6.59302635145675e-09 1.08056718242375 0.804 0.663 0.000146437708292206
"Ddx60" 6.8061884420472e-09 1.67690646659875 0.278 0.096 0.00015117225148631
"Ciita" 8.00569707025607e-09 2.4886909550428 0.144 0.033 0.000177814537627458
"Nkx2-3" 8.03662870815628e-09 1.17796871529701 0.32 0.117 0.000178501560236859
"Ndn" 8.26380301268007e-09 1.15135802319211 0.485 0.247 0.000183547328714637
"Tbc1d32" 8.46632657458319e-09 1.60607862216562 0.206 0.06 0.000188045579548067
"Ccdc189" 8.78634819728704e-09 2.92803725468094 0.072 0.009 0.000195153579809942
"Pi16" 9.6880117060914e-09 1.03105772624328 0.454 0.21 0.000215180428003996
"Fgf10" 1.13210470713968e-08 1.34656358474851 0.237 0.075 0.000251451776502795
"Angpt4" 1.15753480230475e-08 1.4977428189876 0.216 0.065 0.000257100054939909
"Susd2" 1.19549853557125e-08 1.97990087476951 0.155 0.037 0.000265532179735731
"Nxpe4" 1.21966053125634e-08 2.30768138333031 0.093 0.015 0.000270898800597346
"Socs1" 1.23743590266887e-08 1.61188016509886 0.423 0.196 0.000274846888341783
"Hrh2" 1.24427310561908e-08 2.44539209844611 0.052 0.005 0.000276365499489054
"Aox3" 1.30053036084057e-08 1.8015376105105 0.186 0.052 0.000288860798446299
"H2-Aa" 1.3583122913996e-08 1.26830008356018 0.68 0.423 0.000301694743042766
"Hvcn1" 1.412026100199e-08 1.31446245454354 0.155 0.037 0.000313625117115201
"Plekhh2" 1.43056915506808e-08 1.37634517649289 0.247 0.081 0.000317743715032172
"Hcls1" 1.50575043438211e-08 1.01638814537773 0.227 0.07 0.000334442228980609
"Selenbp1" 1.59507736690076e-08 1.4723431208725 0.278 0.099 0.000354282633962328
"Acox3" 1.92596169282679e-08 1.96318102818793 0.258 0.09 0.000427775351593758
